"ntree","mtry","nodesize","RMSE","MAE"
30,105,1,5.07170801823431,4.11304347826087
40,105,1,5.10299624261805,4.11630434782609
50,105,1,5.19356960263279,4.05304347826087
60,105,1,4.88380197583096,3.83333333333333
70,105,1,5.10667221911735,4.00869565217391
80,105,1,4.95290044580819,3.74456521739131
90,105,1,4.89052673487203,3.78647342995169
100,105,1,5.10261399335844,3.91652173913044
110,105,1,4.89980493426214,3.69604743083004
120,105,1,5.08117975288805,3.93550724637681
130,105,1,4.8708285141443,3.77458193979933
140,105,1,4.97580882564712,3.86459627329192
150,105,1,4.99101995520322,3.81739130434783
160,105,1,4.94006743925099,3.8125
170,105,1,4.88624286538765,3.68132992327366
180,105,1,4.8578155840934,3.84420289855073
190,105,1,4.91791062091883,3.73524027459954
200,105,1,4.87908145756609,3.74152173913043
210,105,1,4.92015674784311,3.77971014492754
220,105,1,5.07993231852175,3.92826086956522
230,105,1,4.93341086669759,3.73327032136106
240,105,1,5.0826428760117,3.83134057971015
250,105,1,4.9495324329019,3.76834782608696
260,105,1,4.88073450759989,3.74046822742475
270,105,1,4.85145638884459,3.74653784219002
280,105,1,4.88652137734515,3.82981366459627
290,105,1,4.99291873058639,3.82368815592204
300,105,1,4.92237472637546,3.82144927536232
10,115,1,5.41631994431001,4.20869565217391
20,115,1,5.15680217728508,3.88695652173913
30,115,1,4.83585141802331,3.67101449275362
40,115,1,4.89334063893938,3.93695652173913
50,115,1,4.9762741431543,3.83304347826087
60,115,1,4.83942020522142,3.74855072463768
70,115,1,4.90429252613451,3.8583850931677
80,115,1,5.139701210441,3.89945652173913
90,115,1,4.66702034546582,3.53381642512077
100,115,1,4.78206749902355,3.67521739130435
110,115,1,4.88040624063833,3.78774703557312
120,115,1,5.11882566686242,3.90253623188406
130,115,1,4.96145497842705,3.76688963210702
140,115,1,4.98976258964052,3.76987577639752
150,115,1,4.85375256988465,3.7263768115942
160,115,1,4.75736289328127,3.66385869565217
170,115,1,4.9757404554081,3.78721227621483
180,115,1,5.02671633175958,3.90193236714976
190,115,1,4.98973895924107,3.83386727688787
200,115,1,4.89399176897373,3.80108695652174
210,115,1,4.89336481626716,3.76459627329193
220,115,1,4.92032786535117,3.76719367588933
230,115,1,4.95786553600763,3.79546313799622
240,115,1,4.92027279630882,3.76684782608696
250,115,1,5.03129455205767,3.84608695652174
260,115,1,4.89218786006246,3.75234113712375
270,115,1,4.79879802200663,3.7183574879227
280,115,1,4.95606937693903,3.81444099378882
290,115,1,5.0006793727565,3.86536731634183
300,115,1,4.84707716101476,3.72942028985507
10,125,1,5.57307190289006,4.51304347826087
20,125,1,4.87639612115697,3.60652173913043
30,125,1,4.88661288698485,3.78405797101449
40,125,1,5.10462013661452,3.825
50,125,1,5.00392541563295,3.84521739130435
60,125,1,5.16200116608349,4.17391304347826
70,125,1,4.85566656410028,3.74782608695652
80,125,1,5.05364967127719,3.91521739130435
90,125,1,4.92670323071769,3.90676328502415
100,125,1,5.02717657814265,3.96347826086956
110,125,1,5.07477928943785,4.02094861660079
120,125,1,4.72931167178575,3.62971014492754
130,125,1,5.01649632712429,3.90869565217391
140,125,1,4.91287626039529,3.7944099378882
150,125,1,5.06972390600236,3.92144927536232
160,125,1,4.90893031189741,3.69918478260869
170,125,1,4.88532633706161,3.81662404092072
180,125,1,5.04643308180818,3.90193236714976
190,125,1,4.84554996364693,3.67505720823799
200,125,1,4.96804440573867,3.74565217391304
210,125,1,4.98505367374706,3.86376811594203
220,125,1,4.88379461835123,3.72173913043478
230,125,1,4.86957171549661,3.73364839319471
240,125,1,4.934544152845,3.79329710144928
250,125,1,4.90485197223782,3.76678260869565
260,125,1,4.94871277892071,3.83010033444816
270,125,1,4.86189290546412,3.67262479871176
280,125,1,4.84401118095393,3.76925465838509
290,125,1,4.95658382430499,3.80464767616192
300,125,1,4.90170659426203,3.76782608695652
10,135,1,5.18815540647532,3.97826086956522
20,135,1,5.55034272345646,4.00434782608696
30,135,1,5.12518174533404,3.74347826086956
40,135,1,4.79976505312681,3.64673913043478
50,135,1,4.92769105468624,3.76260869565217
60,135,1,5.04394696306212,3.79130434782609
70,135,1,4.89949474967874,3.76335403726708
80,135,1,4.73228174236598,3.72445652173913
90,135,1,4.73265627599671,3.60289855072464
100,135,1,4.90754476822921,3.88130434782609
110,135,1,5.15247673734929,3.93241106719368
120,135,1,4.9045244319283,3.76014492753623
130,135,1,5.10326726358427,3.93210702341137
140,135,1,4.87483578773779,3.64534161490683
150,135,1,5.07302118676363,3.92985507246377
160,135,1,4.96642651444372,3.85733695652174
170,135,1,4.87800610737333,3.72557544757033
180,135,1,4.99297386097526,3.91207729468599
190,135,1,4.92994754061559,3.71510297482838
200,135,1,4.93056813905994,3.8004347826087
210,135,1,5.10349401763257,3.9064182194617
220,135,1,5.00037404278247,3.88142292490119
230,135,1,4.88504325173272,3.77504725897921
240,135,1,4.95460301463283,3.80235507246377
250,135,1,4.94050284362089,3.83252173913043
260,135,1,4.93821427766379,3.8185618729097
270,135,1,5.00268181195087,3.87761674718196
280,135,1,5.01780923254686,3.87763975155279
290,135,1,4.97899641640603,3.80284857571214
300,135,1,4.89477854502437,3.7695652173913
10,145,1,4.66117171311361,3.68260869565217
20,145,1,5.05935422928572,3.98478260869565
30,145,1,5.02646138050038,3.87536231884058
40,145,1,5.38611590714658,4.0445652173913
50,145,1,5.01344279868158,3.73565217391304
60,145,1,5.0573247687315,3.89782608695652
70,145,1,5.10591719645319,3.78571428571429
80,145,1,4.91518070458205,3.73858695652174
90,145,1,4.91839580391317,3.66859903381643
100,145,1,4.97718097267746,3.86347826086956
110,145,1,5.05104131101182,3.89841897233202
120,145,1,4.88825616239357,3.74927536231884
130,145,1,4.82716671159578,3.67558528428094
140,145,1,4.92896298741653,3.79503105590062
150,145,1,4.95220792021338,3.63130434782609
160,145,1,5.00387842105675,3.87472826086956
170,145,1,4.94323136543091,3.77826086956522
180,145,1,4.87798699385153,3.81908212560386
190,145,1,4.8517210014489,3.75400457665904
200,145,1,4.93519899603195,3.76347826086956
210,145,1,4.94090833501266,3.80186335403727
220,145,1,4.94677573682515,3.77806324110672
230,145,1,4.94173207193572,3.78733459357278
240,145,1,4.9769576234875,3.85615942028986
250,145,1,5.03886267360783,3.84069565217391
260,145,1,5.03122843679614,3.87224080267558
270,145,1,4.99917485885403,3.84927536231884
280,145,1,4.98750896483973,3.83586956521739
290,145,1,4.98827514281013,3.7856071964018
300,145,1,4.98582662652428,3.84739130434783
10,155,1,5.47535982538055,4.25652173913043
20,155,1,5.096674107349,4.01739130434783
30,155,1,5.06485951753522,3.84202898550725
40,155,1,4.87081481443523,3.59565217391304
50,155,1,5.0557999410062,3.79826086956522
60,155,1,5.14113490544082,3.96304347826087
70,155,1,5.01094454343603,3.8583850931677
80,155,1,5.0310989377808,3.86195652173913
90,155,1,5.01145386961494,3.89130434782609
100,155,1,4.70338453530609,3.64
110,155,1,5.03385412856899,3.90632411067194
120,155,1,4.91288389238914,3.73731884057971
130,155,1,4.95700863969136,3.82441471571906
140,155,1,5.03109651275687,3.88540372670807
150,155,1,4.97377664418902,3.82608695652174
160,155,1,4.84982017960012,3.76983695652174
170,155,1,4.95858703431348,3.79590792838875
180,155,1,4.91379361456371,3.72512077294686
190,155,1,4.99860079181649,3.89153318077803
200,155,1,5.0290864845979,3.74391304347826
210,155,1,4.87496860904456,3.77287784679089
220,155,1,5.04678827224741,3.88379446640316
230,155,1,4.96375885271352,3.78298676748582
240,155,1,4.98893453997974,3.8143115942029
250,155,1,4.9078050349285,3.76660869565217
260,155,1,4.87003472574862,3.72240802675585
270,155,1,4.94175365697025,3.80644122383253
280,155,1,4.93777237744553,3.72453416149068
290,155,1,5.06027066906218,3.82728635682159
300,155,1,5.05632501974646,3.88275362318841
10,165,1,4.81763066427796,3.72173913043478
20,165,1,4.97024844099542,3.83695652173913
30,165,1,4.7984598978531,3.67826086956522
40,165,1,5.16383746755302,4.01521739130435
50,165,1,5.04840568892794,4.04521739130435
60,165,1,5.26391530591309,3.98188405797101
70,165,1,4.99070831410595,3.85962732919255
80,165,1,5.14096730557164,3.79619565217391
90,165,1,4.87548998322113,3.72173913043478
100,165,1,5.0060919409994,3.84869565217391
110,165,1,4.99793956827562,3.84308300395257
120,165,1,4.99429082265501,3.80797101449276
130,165,1,5.05873197854652,3.94113712374582
140,165,1,4.7793600626753,3.72701863354037
150,165,1,5.13532729954284,3.91130434782609
160,165,1,4.77578189734186,3.6866847826087
170,165,1,4.87337278471301,3.72813299232737
180,165,1,4.97697813194096,3.88309178743961
190,165,1,4.98683815049685,3.75446224256293
200,165,1,4.91797700544512,3.74173913043478
210,165,1,5.11176177547201,3.94182194616977
220,165,1,4.96450869356186,3.79466403162055
230,165,1,4.94511488803405,3.75198487712665
240,165,1,4.91419790328073,3.77626811594203
250,165,1,4.84385128842204,3.78504347826087
260,165,1,4.97232713879521,3.81688963210703
270,165,1,4.88925973316566,3.71046698872786
280,165,1,4.88606314135373,3.69642857142857
290,165,1,4.8946055321031,3.86011994002999
300,165,1,4.85326370590285,3.72507246376812
10,5,6,5.41579043079938,4.40710144927536
20,5,6,4.85353132310361,3.73152173913044
30,5,6,4.82091448573791,3.77019323671497
40,5,6,4.83866906413304,3.90623188405797
50,5,6,4.78033482343597,3.78623188405797
60,5,6,4.88175783447745,4.19927536231884
70,5,6,4.67264443954014,3.72939958592133
80,5,6,4.69543667851858,3.87682065217391
90,5,6,4.78174377017721,3.84310789049919
100,5,6,4.73583290439065,3.87348550724638
110,5,6,4.7843399505602,3.92766139657444
120,5,6,4.73314048233127,3.8720652173913
130,5,6,4.92006300043515,3.98544035674471
140,5,6,4.83397528214298,3.90335921325052
150,5,6,4.84143551411758,3.93323188405796
160,5,6,4.69263974277914,3.77661231884058
170,5,6,4.74141372307093,3.85362745098039
180,5,6,4.86441265638418,3.98558776167472
190,5,6,4.78096678279928,3.90100305110603
200,5,6,4.7965865372911,3.9290615942029
210,5,6,4.64432881420031,3.74629399585921
220,5,6,4.77118580088122,3.85477931488801
230,5,6,4.70818725435652,3.80594833018273
240,5,6,4.85774298803228,3.98195350241546
250,5,6,4.8099628235228,3.89651594202898
260,5,6,4.74291196529164,3.88853121516166
270,5,6,4.74855352350186,3.86980944712828
280,5,6,4.84428764438771,3.88593426501036
290,5,6,4.7133990127059,3.87428785607196
300,5,6,4.67838937705189,3.83150966183575
10,15,6,5.22407916671413,3.94391304347826
20,15,6,4.66938512953502,3.73492753623189
30,15,6,4.8202036824173,3.65601449275362
40,15,6,4.67322172820359,3.9303079710145
50,15,6,4.60164730638574,3.65886956521739
60,15,6,4.79293816638333,3.71256038647343
70,15,6,4.74783770893462,3.75824016563147
80,15,6,4.55196839327744,3.78138586956522
90,15,6,4.54316729170047,3.57924315619968
100,15,6,4.81500485700138,3.85107246376811
110,15,6,4.64587440025956,3.69156126482213
120,15,6,4.76634801778016,3.77158212560387
130,15,6,4.79925998749292,3.78775362318841
140,15,6,4.72212580211223,3.75801759834369
150,15,6,4.82701794012724,3.90178743961353
160,15,6,4.82797664931045,3.79413496376812
170,15,6,4.8544708431654,3.9120716112532
180,15,6,4.65478188654089,3.66899758454107
190,15,6,4.86618771858095,3.89214340198322
200,15,6,4.67160663849633,3.64206884057971
210,15,6,4.75744192036573,3.81091442374052
220,15,6,4.77082529138864,3.8163768115942
230,15,6,4.8685655064637,3.83220856962822
240,15,6,4.85482540664603,3.87708937198068
250,15,6,4.73400276537824,3.83424057971015
260,15,6,4.78855290803256,3.79828037904124
270,15,6,4.86283114532852,3.8354857756307
280,15,6,4.72963032327371,3.72026138716356
290,15,6,4.59455053527807,3.66672413793104
300,15,6,4.79577533191652,3.78423913043478
10,25,6,5.1502050402408,4.14615942028986
20,25,6,5.04190329723763,3.99300724637681
30,25,6,4.72640783384262,3.67442028985507
40,25,6,4.70314697681321,3.77800724637681
50,25,6,5.01686808974998,3.93568115942029
60,25,6,4.87717532497691,3.81693236714976
70,25,6,4.84684533142592,3.87658385093168
80,25,6,4.81876584496164,3.80478260869566
90,25,6,4.88286200481077,3.9644766505636
100,25,6,4.71514359134019,3.79043478260869
110,25,6,4.92693654920898,3.85049407114625
120,25,6,4.73316173996792,3.67352657004831
130,25,6,4.89445955380309,3.93783723522854
140,25,6,4.77643417822465,3.76683747412009
150,25,6,4.82231065153008,3.8701884057971
160,25,6,4.8655072765615,3.77872282608695
170,25,6,4.95730915916187,3.85925404944586
180,25,6,4.80847097066046,3.76380032206119
190,25,6,4.85555021349118,3.79365369946605
200,25,6,4.92623830057804,3.91359420289855
210,25,6,4.82200276799668,3.80698757763975
220,25,6,4.9398173401437,3.89798089591566
230,25,6,4.86105540590975,3.85806868304978
240,25,6,4.72115055257169,3.78773852657004
250,25,6,4.77134740021375,3.7551768115942
260,25,6,4.73742095240879,3.66083612040134
270,25,6,4.82745948631157,3.81167740203973
280,25,6,4.79680426356311,3.75135351966874
290,25,6,4.81389370825452,3.82935532233883
300,25,6,4.76786465216715,3.76678260869565
10,35,6,5.04799576385362,4.15804347826087
20,35,6,4.54298599371938,3.54884057971015
30,35,6,4.9401312498727,3.73586956521739
40,35,6,5.08975961552612,4.04692028985507
50,35,6,4.69828533426032,3.60226086956521
60,35,6,4.88386978238174,3.76057971014494
70,35,6,4.85152563843665,3.68469979296066
80,35,6,4.87686771267906,3.82921195652173
90,35,6,5.0984269264267,3.94442834138486
100,35,6,4.92302121531824,3.79636231884058
110,35,6,4.81597391729114,3.76954545454546
120,35,6,4.71880891505738,3.73785024154589
130,35,6,4.85605971131692,3.84732998885172
140,35,6,4.94601665368846,3.87806935817806
150,35,6,4.76266700286085,3.7492270531401
160,35,6,4.89943551777861,3.84677989130434
170,35,6,4.78006280511301,3.8122463768116
180,35,6,4.91331810297717,3.90462560386474
190,35,6,4.90909774057793,3.78118230358505
