"ntree","mtry","nodesize","RMSE","MAE","rmse_van","mae_van","rmse_nyc","mae_nyc"
240,105,26,4.35648972682016,3.48286129510256,0.212561469235141,0.212561469235141,5.42127627160459,5.41957596274247
250,105,26,4.26797887740002,3.39624130772951,0.464313151984513,0.464313151984513,5.62867045685386,5.6234775433496
260,105,26,4.24783083650491,3.4202291033513,0.896105346209538,0.896105346209538,5.78963035513899,5.78217730631326
270,105,26,4.29078042353288,3.44068893848068,0.280161936554691,0.280161936554691,5.68366660913037,5.67334341971593
280,105,26,4.25930369859167,3.40511946877675,0.181224947449621,0.181224947449621,5.57284646295711,5.57213714312924
290,105,26,4.30850257374783,3.44044949488037,0.4943018089064,0.4943018089064,6.01776133424905,6.01321919827952
300,105,26,4.28868636587365,3.44007382271396,0.694134635013341,0.694134635013341,5.67845285325982,5.67287374539992
10,115,26,4.5631839843564,3.60332281968367,1.92604797979797,1.92604797979797,5.98643404582636,5.87039635759837
20,115,26,4.43330978131835,3.54470825640015,0.892958959899744,0.892958959899744,5.12924544335502,5.10457657774614
30,115,26,4.35512051988009,3.5377701608513,2.76086465235932,2.76086465235932,6.28095369334302,6.27946197627246
40,115,26,4.26788915295636,3.41410196681441,0.370564783630414,0.370564783630414,5.79346494274847,5.79289045023699
50,115,26,4.21282749140965,3.38387691689018,0.733700776924579,0.733700776924579,5.45199708591309,5.44598331085802
60,115,26,4.26945324981957,3.37474226132579,0.270024327418497,0.270024327418497,5.52228909478935,5.51933544596747
70,115,26,4.38726235486974,3.451805722843,0.0796776281069356,0.0796776281069356,6.45495812214059,6.42002489918775
80,115,26,4.29320662905323,3.50246201713558,0.955292763655635,0.955292763655635,5.76141547520437,5.74269108855714
90,115,26,4.29785064409043,3.46103434530022,0.980396694810125,0.980396694810125,6.03869633864802,6.0268482275744
100,115,26,4.24479607158216,3.39737251467165,0.0885631614586231,0.0885631614586231,5.82623189771874,5.81881502375279
110,115,26,4.34437358992671,3.4992421057676,0.916545749020955,0.916545749020955,6.07924254271227,6.04559343863605
120,115,26,4.28233387237404,3.45920854518489,0.413596793246327,0.413596793246327,6.09754172734453,6.08307656202511
130,115,26,4.26380825063139,3.40413527683324,0.47578346660444,0.47578346660444,5.61873138250713,5.61191793563859
140,115,26,4.32200427264757,3.45338529149334,0.371655080041293,0.371655080041293,5.6524592742558,5.6524582773498
150,115,26,4.28009301891856,3.42429298152529,1.0200075952191,1.0200075952191,6.21855666350594,6.20768228760103
160,115,26,4.23721875629636,3.4111154367911,0.991184738143573,0.991184738143573,5.72825546864292,5.7071514367509
170,115,26,4.3072379410123,3.43429656055556,0.0397539656928103,0.0397539656928103,5.89720506688911,5.89270236260952
180,115,26,4.28527039078503,3.424255878809,0.718782790116919,0.718782790116919,5.50839520577858,5.50126578185068
190,115,26,4.24146661409169,3.41791576315472,0.931710445281155,0.931710445281155,6.11790527321917,6.11187589232523
200,115,26,4.31761584975032,3.45616259135141,0.779702772853739,0.779702772853739,5.50523957717883,5.50321392242559
210,115,26,4.26370334457546,3.44626937198726,0.668928759599865,0.668928759599865,6.01293553776423,6.00020974880621
220,115,26,4.27033998620282,3.46318829349124,0.0491682360358823,0.0491682360358823,5.84413912356695,5.83180658682575
230,115,26,4.20401317400885,3.37602476353902,0.0609030936552273,0.0609030936552273,5.7536094916717,5.72921862248133
240,115,26,4.22932238317409,3.42460282497527,0.364313946559676,0.364313946559676,5.61945702678548,5.61902821802526
250,115,26,4.26346993003093,3.4389019116119,0.404485029372978,0.404485029372978,5.88491308616771,5.88324462775689
260,115,26,4.28350771895945,3.40304985343995,0.0374451498218775,0.0374451498218775,6.04312322615808,6.0091352252342
270,115,26,4.24574810219387,3.40523400600012,0.823076468810569,0.823076468810569,5.57189030164435,5.57179773806391
280,115,26,4.32074941939521,3.4612109685546,1.10602849956291,1.10602849956291,5.89295172352044,5.86825600718677
290,115,26,4.3195043042263,3.49798758679986,1.09201361455558,1.09201361455558,6.0004439490152,5.98699529111381
300,115,26,4.2941432853963,3.43650685090294,0.97261076599149,0.97261076599149,5.88353595375908,5.87986455852607
10,125,26,4.50862194756901,3.66970224485973,2.22626319758673,2.22626319758673,5.03472852336828,5.00954785871986
20,125,26,4.43659720682576,3.55696255859179,3.06371146869985,3.06371146869985,6.56233021172284,6.47519212703791
30,125,26,4.35882348329692,3.53645665112666,1.78305834815566,1.78305834815566,5.77801095087341,5.71951170003025
40,125,26,4.49463360144135,3.63862756985378,1.05998416772388,1.05998416772388,5.25667215473626,5.2523850477452
50,125,26,4.42125377630474,3.50721468118182,1.07384492695422,1.07384492695422,5.32596831920828,5.32565290837623
60,125,26,4.36265331719578,3.51343683114199,1.57439471793931,1.57439471793931,6.11841810221337,6.11814635454036
70,125,26,4.2212707522203,3.40567267753615,0.736599160460798,0.736599160460798,5.26654747898146,5.25318568275031
80,125,26,4.33857671868632,3.48466327237683,0.564221992545839,0.564221992545839,5.81476105349003,5.81175611727188
90,125,26,4.21585521183602,3.37091299177858,1.20681879816635,1.20681879816635,6.55641882639736,6.49118163074594
100,125,26,4.21214256365204,3.37250551864378,0.251519587224308,0.251519587224308,5.88481987034504,5.88279833792159
110,125,26,4.29324794024151,3.40004482999194,1.01012336126969,1.01012336126969,5.99183694003401,5.99075550961015
120,125,26,4.33683326742624,3.50647248428904,1.20940743882215,1.20940743882215,5.66748253404833,5.66622358139244
130,125,26,4.28300217698071,3.43668993117116,0.570254907529929,0.570254907529929,5.67734692061445,5.6546071763615
140,125,26,4.3047475313935,3.44026037214982,0.280407305222852,0.280407305222852,5.66058965186628,5.65725899923897
150,125,26,4.31668642511016,3.44723453466901,0.744020185840085,0.744020185840085,5.97145335251937,5.95212757167952
160,125,26,4.29501653545969,3.4263777443756,0.191930572419494,0.191930572419494,5.58798519941347,5.56496332960669
170,125,26,4.26078723992281,3.37060017363096,0.21129125920281,0.21129125920281,5.70230461069483,5.70204435672799
180,125,26,4.29542196338227,3.45724274814104,0.865744853940157,0.865744853940157,5.92394849792336,5.90480077128504
190,125,26,4.23640495061024,3.42211883920532,0.183920442329921,0.183920442329921,5.66345434697612,5.63203330354613
200,125,26,4.35131691309217,3.48707919085325,1.45951881203055,1.45951881203055,6.05269988286436,6.04017603070258
210,125,26,4.24228686106698,3.38903752791691,0.333652460449727,0.333652460449727,5.76388648116754,5.76292731475426
220,125,26,4.29433145197213,3.4157296030722,0.581471140613843,0.581471140613843,6.05899102047952,6.05059669811936
230,125,26,4.24411988448667,3.44082596814211,0.763140599656239,0.763140599656239,5.75420561658223,5.75130649615068
240,125,26,4.30186668832752,3.44861711362427,0.100439575197342,0.100439575197342,5.55680898791057,5.55464676912027
250,125,26,4.25845293796357,3.40742378484702,0.709247432858135,0.709247432858135,5.70949089819421,5.70780004209659
260,125,26,4.30875123818915,3.46487702860303,0.265724262723481,0.265724262723481,5.79901960202821,5.79891255376604
270,125,26,4.2355175306799,3.39937046371867,0.559159164223672,0.559159164223672,5.91379525038045,5.88886707418001
280,125,26,4.20851594352788,3.38790982685084,0.585818267310955,0.585818267310955,5.74885626096551,5.73417776620379
290,125,26,4.29159925277824,3.44598461405028,0.31529879236291,0.31529879236291,5.661985979275,5.65529374238895
300,125,26,4.29273327694314,3.42655330174944,0.379734903544843,0.379734903544843,5.67065763607302,5.67010231672788
10,135,26,4.36099718484501,3.50924453589422,0.418085803085802,0.418085803085802,5.69258046113344,5.57089899025386
20,135,26,4.31900941782707,3.49228521388241,0.809232389686343,0.809232389686343,5.34899884629017,5.31012609431257
30,135,26,4.4196137658242,3.55725283819914,1.35644537120224,1.35644537120224,5.00638871272106,4.99854290722189
40,135,26,4.3612078563712,3.50012079897268,1.3437479310933,1.3437479310933,5.77092552699237,5.76702222724506
50,135,26,4.36503997173225,3.53660309396247,0.597273460940286,0.597273460940286,6.34615560329208,6.28933094560612
60,135,26,4.26316349274283,3.45241969107784,0.386813033126572,0.386813033126572,5.73621449486449,5.72437686935134
70,135,26,4.28789516001167,3.51460997953512,1.7930293496381,1.7930293496381,5.77658327352268,5.77175555871857
80,135,26,4.37477025175981,3.49246155385401,1.56611878726127,1.56611878726127,6.08818361484364,6.06189766905403
90,135,26,4.2615912581552,3.44860708819929,1.13134827274826,1.13134827274826,6.26704368351827,6.24634531823025
100,135,26,4.21244561702416,3.37858086700833,0.252419117249616,0.252419117249616,5.55855042197564,5.55365891573059
110,135,26,4.24760413619067,3.43504028604752,0.554354673249676,0.554354673249676,5.60619416792102,5.60272447035239
120,135,26,4.21577938017426,3.38117603018151,1.07303110572229,1.07303110572229,5.96553295168457,5.9281135688336
130,135,26,4.35720183901209,3.51292556502146,0.384420323514732,0.384420323514732,5.77987415922367,5.76510658935217
140,135,26,4.23336702070741,3.46826189565874,0.88956313769684,0.88956313769684,6.0974491523331,6.07955550602044
150,135,26,4.34974860842385,3.45530278628265,0.815271938125036,0.815271938125036,5.72348932392733,5.71715293524433
160,135,26,4.25443414643499,3.40796891510838,0.404046721743526,0.404046721743526,6.1621415643698,6.1479823717617
170,135,26,4.28160157974525,3.47768105817041,1.38674345931456,1.38674345931456,6.18266509058762,6.16059156876616
180,135,26,4.27667162969487,3.41511677803685,0.966055649968382,0.966055649968382,5.51847338076281,5.51842957903834
190,135,26,4.300307792791,3.42803154400759,0.570819208047268,0.570819208047268,5.55532991685918,5.55103411346494
200,135,26,4.2537883752726,3.42755990250448,0.366572496616058,0.366572496616058,5.65394187620769,5.64334323984522
210,135,26,4.31589645373383,3.45910144200258,0.251434773553456,0.251434773553456,5.53719954749392,5.53719616496302
220,135,26,4.25974425164085,3.40539343022746,0.465788105287501,0.465788105287501,5.86707901438683,5.85788291477071
