"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
250,6,0.01,0,1,0.8,0.6,3.07626180197441,2.00919669015067
50,9,0.01,0,1,0.8,0.6,3.81734636277764,2.73441750662667
150,9,0.01,0,1,0.8,0.6,3.35601292166888,2.27188001360212
200,9,0.01,0,1,0.8,0.6,3.22193001473716,2.13569150652204
250,9,0.01,0,1,0.8,0.6,3.12376260024738,2.08903884887695
50,3,0.05,0,1,0.8,0.6,3.1400624692472,2.05673599243164
150,3,0.05,0,1,0.8,0.6,2.71574725728907,2.03229577200753
200,3,0.05,0,1,0.8,0.6,2.81695874499537,2.18717902047294
250,3,0.05,0,1,0.8,0.6,2.91257174570232,2.2771726335798
50,6,0.05,0,1,0.8,0.6,3.12333703992645,2.12974766322545
150,6,0.05,0,1,0.8,0.6,2.60697308012783,1.93909290858677
200,6,0.05,0,1,0.8,0.6,2.63532878337411,2.08451134817941
250,6,0.05,0,1,0.8,0.6,2.91068242181761,2.33721051897321
50,9,0.05,0,1,0.8,0.6,3.03168181556957,1.98740713936942
150,9,0.05,0,1,0.8,0.6,2.68905142832758,2.04108592442104
200,9,0.05,0,1,0.8,0.6,2.95367848632244,2.42357635498047
250,9,0.05,0,1,0.8,0.6,2.91707153447703,2.25491823468889
50,3,0.1,0,1,0.8,0.6,2.66457058055868,1.84610421316964
150,3,0.1,0,1,0.8,0.6,2.82804853906411,2.2694707598005
200,3,0.1,0,1,0.8,0.6,2.93029975850472,2.38101741245815
250,3,0.1,0,1,0.8,0.6,3.16764636232635,2.49644688197545
50,6,0.1,0,1,0.8,0.6,2.62700085286624,1.82848630632673
150,6,0.1,0,1,0.8,0.6,3.31703814608965,2.72997392926897
200,6,0.1,0,1,0.8,0.6,3.19809004512104,2.63913399832589
250,6,0.1,0,1,0.8,0.6,3.29040946994551,2.68117523193359
50,9,0.1,0,1,0.8,0.6,2.88872863647003,1.9599609375
150,9,0.1,0,1,0.8,0.6,2.78810266555451,2.2406861441476
200,9,0.1,0,1,0.8,0.6,3.07367100408011,2.51319231305804
250,9,0.1,0,1,0.8,0.6,2.4931739063364,1.99931171962193
50,3,0.01,0,3,0.8,0.6,3.81740824655126,2.74081856863839
150,3,0.01,0,3,0.8,0.6,3.37923708964395,2.25721740722656
200,3,0.01,0,3,0.8,0.6,3.25192380369951,2.16289029802595
250,3,0.01,0,3,0.8,0.6,3.11517404674979,2.09356416974749
50,6,0.01,0,3,0.8,0.6,3.81551942546491,2.7268911089216
150,6,0.01,0,3,0.8,0.6,3.35692253678284,2.21372059413365
200,6,0.01,0,3,0.8,0.6,3.24273499681995,2.16600091116769
250,6,0.01,0,3,0.8,0.6,3.10888020697753,2.06680842808315
50,9,0.01,0,3,0.8,0.6,3.81150923264778,2.71510532924107
150,9,0.01,0,3,0.8,0.6,3.364399414441,2.24835423060826
200,9,0.01,0,3,0.8,0.6,3.23945240225353,2.15039825439453
250,9,0.01,0,3,0.8,0.6,3.13221085641866,2.11494445800781
50,3,0.05,0,3,0.8,0.6,3.15653180824977,2.190123966762
150,3,0.05,0,3,0.8,0.6,2.55810088344816,1.89105006626674
200,3,0.05,0,3,0.8,0.6,2.67628815338933,2.14035633632115
250,3,0.05,0,3,0.8,0.6,2.80487785096655,2.27423204694475
50,6,0.05,0,3,0.8,0.6,3.06011247006685,1.98211179460798
150,6,0.05,0,3,0.8,0.6,2.62803081481486,2.02858243669782
200,6,0.05,0,3,0.8,0.6,2.70189000562167,2.15771974836077
250,6,0.05,0,3,0.8,0.6,2.64923335532482,2.01733943394252
50,9,0.05,0,3,0.8,0.6,3.09201511995845,2.08274568830218
150,9,0.05,0,3,0.8,0.6,2.64328707502808,1.9035404750279
200,9,0.05,0,3,0.8,0.6,2.77486377948737,2.05310549054827
250,9,0.05,0,3,0.8,0.6,2.78823908688122,2.35768236432757
50,3,0.1,0,3,0.8,0.6,3.00829659773823,2.07462092808315
150,3,0.1,0,3,0.8,0.6,2.83961477441081,2.25408336094448
200,3,0.1,0,3,0.8,0.6,2.7885242755542,2.37221799577986
250,3,0.1,0,3,0.8,0.6,3.5274398283502,2.85746492658343
50,6,0.1,0,3,0.8,0.6,2.83858847119778,1.89168930053711
150,6,0.1,0,3,0.8,0.6,3.00398118489286,2.58307429722377
200,6,0.1,0,3,0.8,0.6,2.97411605891049,2.39941896711077
250,6,0.1,0,3,0.8,0.6,3.11630859556784,2.61290958949498
50,9,0.1,0,3,0.8,0.6,2.78878315348124,1.99390465872628
150,9,0.1,0,3,0.8,0.6,2.90973300237635,2.32601710728237
200,9,0.1,0,3,0.8,0.6,2.76734909933019,2.29473168509347
