"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
150,6,0.1,0,1,0.6,0.6,5.0119466896848,3.99873517907184
200,6,0.1,0,1,0.6,0.6,4.18329576627968,3.41158659561821
250,6,0.1,0,1,0.6,0.6,3.62010972779566,3.21484242314878
50,9,0.1,0,1,0.6,0.6,8.42582739491624,6.70287555197011
150,9,0.1,0,1,0.6,0.6,5.07748944048872,4.06291497271994
200,9,0.1,0,1,0.6,0.6,4.00933154200934,3.26168690557065
250,9,0.1,0,1,0.6,0.6,3.7273061281136,3.18140146006709
50,3,0.01,0,3,0.6,0.6,11.0457762748178,9.01217684538468
150,3,0.01,0,3,0.6,0.6,10.3666131125292,8.34353106954823
200,3,0.01,0,3,0.6,0.6,10.0280228476138,8.01617531154467
250,3,0.01,0,3,0.6,0.6,9.7220399889254,7.71518475076427
50,6,0.01,0,3,0.6,0.6,11.0398681221654,9.01070105511209
150,6,0.01,0,3,0.6,0.6,10.3858792399894,8.35344430674677
200,6,0.01,0,3,0.6,0.6,10.0310578204099,8.01414755116338
250,6,0.01,0,3,0.6,0.6,9.71525299547354,7.70319001570992
50,9,0.01,0,3,0.6,0.6,11.0413856212325,9.01026717476223
150,9,0.01,0,3,0.6,0.6,10.3649209326135,8.33883302108101
200,9,0.01,0,3,0.6,0.6,10.0248472689977,8.00250808052395
250,9,0.01,0,3,0.6,0.6,9.71099102118775,7.69154822308084
50,3,0.05,0,3,0.6,0.6,9.72371942634986,7.72403617527174
150,3,0.05,0,3,0.6,0.6,7.40302257960929,5.87727720841117
200,3,0.05,0,3,0.6,0.6,6.50591615448749,5.17461760147758
250,3,0.05,0,3,0.6,0.6,5.80464807040453,4.50738757589589
50,6,0.05,0,3,0.6,0.6,9.75127069466999,7.74658833379331
150,6,0.05,0,3,0.6,0.6,7.35651316801431,5.82235220204229
200,6,0.05,0,3,0.6,0.6,6.45307761661632,5.07714711064878
250,6,0.05,0,3,0.6,0.6,5.67443894362255,4.35065028978431
50,9,0.05,0,3,0.6,0.6,9.71819872421551,7.72484024711277
150,9,0.05,0,3,0.6,0.6,7.31698662592873,5.80488453740659
200,9,0.05,0,3,0.6,0.6,6.42983100497057,5.15182495117188
250,9,0.05,0,3,0.6,0.6,5.7722038230407,4.54246156112008
50,3,0.1,0,3,0.6,0.6,8.29639823609804,6.59500088899032
150,3,0.1,0,3,0.6,0.6,5.14086980271303,3.94553408415421
200,3,0.1,0,3,0.6,0.6,4.20016928090068,3.35407024881114
250,3,0.1,0,3,0.6,0.6,3.69352227119277,3.05977630615234
50,6,0.1,0,3,0.6,0.6,8.24893871022554,6.61356386931046
150,6,0.1,0,3,0.6,0.6,5.16876762551092,4.10261237103006
200,6,0.1,0,3,0.6,0.6,4.36922811994064,3.64556652566661
250,6,0.1,0,3,0.6,0.6,3.68101151857402,3.04635951829993
50,9,0.1,0,3,0.6,0.6,8.35627205702807,6.69903464939283
150,9,0.1,0,3,0.6,0.6,4.95932727070112,3.93623949133832
200,9,0.1,0,3,0.6,0.6,3.98805338636008,3.30431996221128
250,9,0.1,0,3,0.6,0.6,3.46842761729408,2.79770793085513
50,3,0.01,0,5,0.6,0.6,11.0484270989558,9.02007658585258
150,3,0.01,0,5,0.6,0.6,10.3675332266631,8.33921548594599
200,3,0.01,0,5,0.6,0.6,10.0257884916441,8.00289319909137
250,3,0.01,0,5,0.6,0.6,9.69645548032242,7.68184728207796
50,6,0.01,0,5,0.6,0.6,11.0466040804728,9.01791415007218
150,6,0.01,0,5,0.6,0.6,10.3505967031499,8.31482397991678
200,6,0.01,0,5,0.6,0.6,10.020918482607,8.00424061650815
250,6,0.01,0,5,0.6,0.6,9.70066571837973,7.68747843866763
50,9,0.01,0,5,0.6,0.6,11.0431689066723,9.00435107687245
150,9,0.01,0,5,0.6,0.6,10.365931117201,8.33804453974185
200,9,0.01,0,5,0.6,0.6,10.0226338068762,8.00463137419328
250,9,0.01,0,5,0.6,0.6,9.69650367219524,7.69141885508662
50,3,0.05,0,5,0.6,0.6,9.72374676347131,7.72618268883747
150,3,0.05,0,5,0.6,0.6,7.38108135932057,5.83445341690727
200,3,0.05,0,5,0.6,0.6,6.54180466050574,5.06420964780061
250,3,0.05,0,5,0.6,0.6,5.68953318395322,4.34061597741168
50,6,0.05,0,5,0.6,0.6,9.71131339255171,7.68138686470363
150,6,0.05,0,5,0.6,0.6,7.4273070135401,5.9408542798913
200,6,0.05,0,5,0.6,0.6,6.47485737958719,5.07899408755095
250,6,0.05,0,5,0.6,0.6,5.70826245513935,4.38273753290591
50,9,0.05,0,5,0.6,0.6,9.70804122712171,7.68868985383407
150,9,0.05,0,5,0.6,0.6,7.37120166454573,5.84907564909562
200,9,0.05,0,5,0.6,0.6,6.4015628400703,5.03946022365404
250,9,0.05,0,5,0.6,0.6,5.64590036469463,4.37298053243886
50,3,0.1,0,5,0.6,0.6,8.43576138697773,6.77130292809528
150,3,0.1,0,5,0.6,0.6,5.06518747547169,3.94785375180452
200,3,0.1,0,5,0.6,0.6,3.9842797783883,3.08229230797809
250,3,0.1,0,5,0.6,0.6,3.68657514174413,3.03315237294073
50,6,0.1,0,5,0.6,0.6,8.48415426125741,6.87157207986583
150,6,0.1,0,5,0.6,0.6,5.17166666979804,4.01556197456692
200,6,0.1,0,5,0.6,0.6,3.98546223278945,3.28724438211192
250,6,0.1,0,5,0.6,0.6,3.90929250511337,3.22755199929942
50,9,0.1,0,5,0.6,0.6,8.40604795272136,6.75728739862857
150,9,0.1,0,5,0.6,0.6,5.07689675484159,3.94484611179518
200,9,0.1,0,5,0.6,0.6,4.2149673977445,3.41546166461447
250,9,0.1,0,5,0.6,0.6,3.6436275913355,2.78616465692935
50,3,0.01,0,1,0.8,0.6,11.0415194515262,9.01033583931301
150,3,0.01,0,1,0.8,0.6,10.3937979456856,8.36802076256794
