"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
250,6,0.1,0,5,0.6,0.6,3.92789687352778,3.48399244035993
50,9,0.1,0,5,0.6,0.6,5.93961431006129,4.8586790902274
150,9,0.1,0,5,0.6,0.6,4.33516825342793,3.55451529366629
200,9,0.1,0,5,0.6,0.6,3.76579544426292,3.2551018851144
250,9,0.1,0,5,0.6,0.6,3.91827075053858,3.02782276698521
50,3,0.01,0,1,0.8,0.6,7.62510075778527,5.9032347542899
150,3,0.01,0,1,0.8,0.6,7.09795102542235,5.46286773681641
200,3,0.01,0,1,0.8,0.6,6.88568604874449,5.32169233049665
250,3,0.01,0,1,0.8,0.6,6.66138934483502,5.18450001307896
50,6,0.01,0,1,0.8,0.6,7.6211059507434,5.90140315464565
150,6,0.01,0,1,0.8,0.6,7.10069373480656,5.48986434936523
200,6,0.01,0,1,0.8,0.6,6.81684773460339,5.25545992170061
250,6,0.01,0,1,0.8,0.6,6.60740176932109,5.14541952950614
50,9,0.01,0,1,0.8,0.6,7.62593973511162,5.91534314836775
150,9,0.01,0,1,0.8,0.6,7.06897652891955,5.45290320260184
200,9,0.01,0,1,0.8,0.6,6.83773129843832,5.30547169276646
250,9,0.01,0,1,0.8,0.6,6.61636818896532,5.1379519871303
50,3,0.05,0,1,0.8,0.6,6.63137134151619,5.13569532121931
150,3,0.05,0,1,0.8,0.6,5.1179366277273,4.31158774239676
200,3,0.05,0,1,0.8,0.6,4.49458314138066,3.97860772269113
250,3,0.05,0,1,0.8,0.6,4.21441360337385,3.81962530953544
50,6,0.05,0,1,0.8,0.6,6.65618353248271,5.13285173688616
150,6,0.05,0,1,0.8,0.6,5.22713823330952,4.4990599496024
200,6,0.05,0,1,0.8,0.6,4.7184412212414,4.04432514735631
250,6,0.05,0,1,0.8,0.6,4.3078040745118,3.83683722359794
50,9,0.05,0,1,0.8,0.6,6.62937291539488,5.13644845145089
150,9,0.05,0,1,0.8,0.6,5.02722332641056,4.28168596540179
200,9,0.05,0,1,0.8,0.6,4.43564891046924,3.82326180594308
250,9,0.05,0,1,0.8,0.6,4.27745601992638,3.70696749005999
50,3,0.1,0,1,0.8,0.6,5.7151278830367,4.58333097185407
150,3,0.1,0,1,0.8,0.6,4.20225904366742,3.70129449026925
200,3,0.1,0,1,0.8,0.6,3.79570051620313,3.24885504586356
250,3,0.1,0,1,0.8,0.6,4.03624264893206,3.43163626534598
50,6,0.1,0,1,0.8,0.6,5.79496196919453,4.75811985560826
150,6,0.1,0,1,0.8,0.6,4.17144034410648,3.63861519949777
200,6,0.1,0,1,0.8,0.6,4.92479636582741,4.26752635410854
250,6,0.1,0,1,0.8,0.6,4.54103261792557,4.10221317836216
50,9,0.1,0,1,0.8,0.6,5.69850968543986,4.56287493024554
150,9,0.1,0,1,0.8,0.6,4.80075867494623,4.24811717442104
200,9,0.1,0,1,0.8,0.6,4.12309782877778,3.62585776192801
250,9,0.1,0,1,0.8,0.6,4.29181037842539,4.01093346732003
50,3,0.01,0,3,0.8,0.6,7.61824484047795,5.90017754690988
150,3,0.01,0,3,0.8,0.6,7.12120049026348,5.49969318934849
200,3,0.01,0,3,0.8,0.6,6.86309703633632,5.28606523786272
250,3,0.01,0,3,0.8,0.6,6.67923897981963,5.18115506853376
50,6,0.01,0,3,0.8,0.6,7.62314257345828,5.89782442365374
150,6,0.01,0,3,0.8,0.6,7.09185509588688,5.47070911952427
200,6,0.01,0,3,0.8,0.6,6.87311988590001,5.32327815464565
250,6,0.01,0,3,0.8,0.6,6.62989338601258,5.12726320539202
50,9,0.01,0,3,0.8,0.6,7.62792373609321,5.91818455287388
150,9,0.01,0,3,0.8,0.6,7.10235194418044,5.48528180803571
200,9,0.01,0,3,0.8,0.6,6.86338670985097,5.29473386492048
250,9,0.01,0,3,0.8,0.6,6.63563565194023,5.13866697038923
